Gene_Symbol,Sources,CGCv80
ABCA7,MutsigCV,False
ACVR1B,MutsigCV;TUSON,False
ACVR2A,TUSON,True
AJUBA,20/20+;TUSON,False
AKT1,20/20+;TUSON,True
ALB,MutsigCV;TUSON,False
ALDOB,TUSON,False
ALK,20/20+;TUSON,True
AMBRA1,20/20+;TUSON,False
AMER1,TUSON,True
AMOT,20/20+;TUSON,False
ANKRD46,TUSON,False
APC,20/20+;MutsigCV;TUSON,True
AR,20/20+,True
ARHGAP35,20/20+;TUSON,False
ARID1A,20/20+;MutsigCV;TUSON,True
ARID1B,20/20+;TUSON,True
ARID2,20/20+;MutsigCV;TUSON,True
ARID4B,20/20+;TUSON,False
ARL15,MutsigCV,False
ARMCX1,MutsigCV,False
ASXL1,TUSON,True
ASXL2,20/20+;TUSON,False
ATAD2,TUSON,False
ATG14,TUSON,False
ATG5,20/20+;TUSON,False
ATM,20/20+;MutsigCV;TUSON,True
ATRX,20/20+;MutsigCV;TUSON,True
ATXN2,20/20+,False
AXIN1,20/20+;TUSON,True
B2M,20/20+;MutsigCV;TUSON,True
BAP1,20/20+;MutsigCV;TUSON,True
BCL9,TUSON,True
BCLAF1,TUSON,False
BCOR,20/20+;TUSON,True
BIRC6,MutsigCV,False
BIRC8,MutsigCV,False
BLVRA,MutsigCV,False
BRAF,20/20+;MutsigCV;TUSON,True
BRCA1,20/20+;TUSON,True
BRCA2,20/20+;MutsigCV;TUSON,True
BRD7,20/20+;TUSON,False
BRE,20/20+;TUSON,False
BRWD3,MutsigCV,False
BTBD7,TUSON,False
BTRC,20/20+,False
C11orf70,MutsigCV,False
C12orf57,MutsigCV,False
C2CD5,TUSON,False
C3orf62,MutsigCV,False
C8orf34,MutsigCV,False
CAMKV,MutsigCV,False
CAPG,MutsigCV,False
CASP8,20/20+;MutsigCV;TUSON,True
CBFB,20/20+;MutsigCV;TUSON,True
CBX4,20/20+,False
CCAR1,20/20+;TUSON,False
CCDC117,MutsigCV,False
CCDC88A,TUSON,False
CCM2,MutsigCV,False
CCNC,MutsigCV,False
CCND1,20/20+,True
CCR3,MutsigCV,False
CD1D,TUSON,False
CD79B,TUSON,True
CDC73,TUSON,True
CDCP1,MutsigCV,False
CDH1,20/20+;MutsigCV;TUSON,True
CDK12,MutsigCV;TUSON,True
CDK4,20/20+;TUSON,True
CDKN1A,20/20+;MutsigCV;TUSON,False
CDKN1B,20/20+;MutsigCV;TUSON,True
CDKN2A,20/20+;MutsigCV;TUSON,True
CEBPA,20/20+;MutsigCV;TUSON,True
CELF1,MutsigCV,False
CENPB,MutsigCV,False
CEP128,TUSON,False
CHD2,TUSON,False
CHD4,20/20+;MutsigCV;TUSON,True
CHD8,20/20+;TUSON,False
CHEK2,20/20+,True
CHRDL1,MutsigCV,False
CHUK,20/20+,False
CIC,20/20+;MutsigCV;TUSON,True
CLEC4C,MutsigCV,False
CMTR2,TUSON,False
CNN2,20/20+,False
CNOT1,TUSON,False
CNOT4,MutsigCV,False
COL11A1,MutsigCV,False
COPS4,20/20+;TUSON,False
COX7B2,MutsigCV,False
CREBBP,20/20+;MutsigCV;TUSON,True
CSDE1,TUSON,False
CSMD3,TUSON,False
CTCF,20/20+;MutsigCV;TUSON,True
CTDNEP1,20/20+,False
CTNNB1,20/20+;MutsigCV;TUSON,True
CUL1,TUSON,False
CUL2,20/20+,False
CYB5B,MutsigCV,False
DACH1,TUSON,False
DCHS1,TUSON,False
DCUN1D1,20/20+,False
DDX3X,20/20+;MutsigCV;TUSON,True
DDX5,20/20+;MutsigCV,True
DHX15,20/20+;TUSON,False
DHX16,MutsigCV,False
DICER1,20/20+,True
DIRC2,TUSON,False
DIS3,20/20+,False
DIXDC1,TUSON,False
DKK2,TUSON,False
DNAJB5,20/20+,False
DNER,TUSON,False
DNM1L,20/20+;TUSON,False
DNMT3A,20/20+;MutsigCV;TUSON,True
EED,20/20+,False
EGFR,20/20+;TUSON,True
EIF1AX,MutsigCV,False
EIF2AK3,TUSON,False
EIF2S2,20/20+,False
EIF4A1,20/20+,False
EIF4A2,MutsigCV,True
ELF3,MutsigCV;TUSON,False
EMG1,MutsigCV,False
EMR3,MutsigCV,False
EP300,20/20+;MutsigCV;TUSON,True
EPB41L4A,TUSON,False
EPHA2,20/20+;TUSON,False
EPS8,TUSON,False
ERBB2,20/20+;MutsigCV;TUSON,True
ERBB3,20/20+;MutsigCV;TUSON,True
ERRFI1,20/20+,False
EXO5,TUSON,False
EZH2,20/20+,True
F5,MutsigCV,False
FANCM,TUSON,False
FAT1,20/20+;MutsigCV;TUSON,True
FBN2,TUSON,False
FBXW7,20/20+;MutsigCV;TUSON,True
FCER1G,MutsigCV,False
FGFR1,MutsigCV,True
FGFR2,20/20+;TUSON,True
FGFR3,20/20+;TUSON,True
FLT3,MutsigCV;TUSON,True
FN1,TUSON,False
FOXA1,TUSON,True
FUBP1,20/20+;MutsigCV;TUSON,True
FUS,MutsigCV,True
GALNTL5,MutsigCV,False
GATA3,MutsigCV;TUSON,True
GGCT,TUSON,False
GIGYF2,20/20+;MutsigCV;TUSON,False
GK2,MutsigCV,False
GLIPR2,MutsigCV,False
GNPTAB,20/20+;TUSON,False
GNRHR,TUSON,False
GOLM1,MutsigCV,False
GOT2,20/20+,False
GPS2,20/20+;MutsigCV;TUSON,False
GPX7,20/20+,False
GRK1,MutsigCV,False
GSE1,TUSON,False
GZMA,MutsigCV,False
HDAC1,MutsigCV,False
HERC1,TUSON,False
HERC4,TUSON,False
HGF,MutsigCV,False
HIST1H2BO,MutsigCV,False
HLA-A,20/20+;TUSON,True
HLA-B,TUSON,False
HMCN1,TUSON,False
HNRNPA1,20/20+,False
HRAS,20/20+;MutsigCV;TUSON,True
HSP90AB1,20/20+;TUSON,True
ID3,MutsigCV,False
IDH1,20/20+;MutsigCV;TUSON,True
IDH2,20/20+;TUSON,True
IFNGR2,TUSON,False
IFT88,MutsigCV,False
IKZF2,MutsigCV,False
INO80C,MutsigCV,False
INPP4A,TUSON,False
INPPL1,20/20+,False
IWS1,20/20+;TUSON,False
JAK1,20/20+,True
JAK2,20/20+,True
JUN,TUSON,True
KANSL1,20/20+;TUSON,False
KAT8,20/20+,False
KATNAL1,MutsigCV,False
KBTBD7,20/20+,False
KCNMB4,MutsigCV,False
KDM5C,20/20+;MutsigCV;TUSON,True
KDM6A,20/20+;MutsigCV;TUSON,True
KEAP1,20/20+;TUSON,True
KIAA1467,MutsigCV,False
KLF4,20/20+,True
KMT2A,20/20+;TUSON,True
KMT2B,20/20+;TUSON,False
KMT2C,20/20+;TUSON,True
KMT2D,20/20+;TUSON,True
KMT2E,TUSON,False
KRAS,20/20+;MutsigCV;TUSON,True
KRT15,20/20+;TUSON,False
LAMTOR1,20/20+,False
LARP4B,TUSON,False
LPAR2,MutsigCV,False
LYN,MutsigCV,False
MAP2K1,20/20+;TUSON,True
MAP2K2,20/20+,True
MAP2K4,20/20+;MutsigCV;TUSON,True
MAP3K1,20/20+;MutsigCV;TUSON,True
MAP4K3,TUSON,False
MAPK1,20/20+;MutsigCV;TUSON,True
MAX,20/20+;TUSON,True
MB21D2,TUSON,False
MBD1,TUSON,False
MBD6,TUSON,False
MBNL1,TUSON,False
MBNL3,MutsigCV,False
MED12,20/20+,True
MED23,20/20+,False
MEN1,20/20+;TUSON,True
MGA,20/20+;TUSON,False
MKLN1,TUSON,False
MLLT4,20/20+,True
MOAP1,20/20+;TUSON,False
MORC4,MutsigCV,False
MS4A1,MutsigCV,False
MSI1,MutsigCV,False
MTOR,20/20+;TUSON,True
MYC,20/20+,True
MYCN,20/20+;TUSON,True
MYD88,20/20+;TUSON,True
MYL6,MutsigCV,False
MYO1B,20/20+,False
MYO6,TUSON,False
NAA15,20/20+,False
NAA25,TUSON,False
NAP1L2,MutsigCV,False
NAP1L4,TUSON,False
NCOA2,20/20+;TUSON,True
NCOR1,20/20+;MutsigCV;TUSON,True
NEK9,20/20+,False
NF1,20/20+;MutsigCV;TUSON,True
NF2,20/20+;MutsigCV;TUSON,True
NFE2L2,20/20+;MutsigCV;TUSON,True
NFE2L3,20/20+,False
NIPBL,TUSON,False
NIT1,TUSON,False
NKX3-1,20/20+,False
NME4,20/20+,False
NOTCH1,20/20+;TUSON,True
NOTCH2,TUSON,True
NPM1,MutsigCV;TUSON,True
NRAS,20/20+;MutsigCV;TUSON,True
NSD1,20/20+;TUSON,True
PBRM1,20/20+;MutsigCV;TUSON,True
PCBP1,20/20+,False
PCOLCE2,MutsigCV,False
PHF6,20/20+;MutsigCV,True
PIK3CA,20/20+;MutsigCV;TUSON,True
PIK3CB,20/20+,False
PIK3R1,20/20+;MutsigCV;TUSON,True
POLA2,20/20+,False
POT1,MutsigCV,True
PPARD,20/20+,False
PPM1D,TUSON,True
PPP2R1A,20/20+;TUSON,True
PPP6C,20/20+;TUSON,True
PRKACA,20/20+,True
PRKCI,20/20+,False
PRPF40A,20/20+,False
PSIP1,20/20+,True
PTEN,20/20+;MutsigCV;TUSON,True
PTH2,TUSON,False
PTMS,MutsigCV,False
PTN,TUSON,False
PTPN11,20/20+;TUSON,True
RAB18,MutsigCV,False
RAC1,20/20+;TUSON,True
RAF1,20/20+;TUSON,True
RANBP3L,MutsigCV,False
RAPGEF6,TUSON,False
RASA1,20/20+;MutsigCV;TUSON,False
RB1,20/20+;MutsigCV;TUSON,True
RBBP6,TUSON,False
